,z0,z025,z05,z1,z2
1.42964,311.513,193.931,125.129,54.9533,14.1263
1.44531,306.765,189.907,122.32,53.7289,13.9132
1.46101,301.589,186.368,120.602,53.0284,13.5336
1.47667,296.161,185.689,119.395,52.7705,13.3319
1.49229,293.494,181.163,117.123,51.6641,13.1278
1.50793,289.663,179.545,115.483,50.9986,12.9493
1.52367,284.716,176.986,114.777,50.376,12.8413
1.53953,280.231,175.016,112.629,49.5778,12.5863
1.55526,275.083,171.809,111.632,49.2128,12.3774
1.57092,272.037,169.456,109.306,48.5949,12.0874
1.58662,268.412,166.4,108.38,47.6072,12.0498
1.60235,265.098,163.679,107.138,47.017,11.7671
1.61809,260.794,160.843,105.832,46.7039,11.7424
1.63369,256.314,159.584,103.276,46.1686,11.4655
1.64941,253.361,156.917,103.013,45.7041,11.4121
1.66519,249.568,154.743,101.024,44.7078,11.2065
1.68085,245.965,153.58,99.9616,44.3337,11.151
1.69652,242.779,151.108,97.9823,43.5779,10.9268
1.71228,238.697,148.293,97.8413,43.1794,10.7428
1.72806,235.429,146.539,95.6778,42.786,10.6655
1.74368,231.216,145.279,94.5391,42.2488,10.493
1.75933,227.205,142.615,94.0595,41.3597,10.3878
1.77505,224.739,140.928,92.4133,40.8492,10.1383
1.79081,221.362,139.183,91.315,40.5251,10.1446
1.8065,217.776,137.019,90.1753,39.9448,9.96926
1.82218,213.703,133.665,88.2764,39.6432,9.89955
1.83797,212.848,132.774,87.6971,38.9389,9.70774
1.85367,209.35,131.742,85.9688,38.4346,9.61975
1.86928,206.326,129.705,85.2493,38.2615,9.50892
1.88497,202.502,128.514,84.2765,37.6424,9.40553
1.90073,200.805,126.041,83.2546,37.3121,9.22749
1.91647,198.276,123.251,82.2131,36.7022,9.16806
1.93218,196.766,122.644,81.211,36.412,9.04966
1.94787,192.07,120.989,80.0706,36.0053,8.91655
1.96363,190.29,118.895,78.8501,35.6233,8.78627
1.97935,186.709,117.14,77.9171,35.291,8.7417
1.99499,184.669,115.072,76.878,34.666,8.6144
2.01064,183.259,113.789,75.962,34.5037,8.51596
2.0264,180.556,112.891,75.4791,34.0697,8.45868
2.04216,177.016,110.783,74.6649,33.724,8.35205
2.05781,175.268,109.777,73.5615,33.1284,8.22098
2.07353,172.999,108.091,72.8268,32.8771,8.13494
2.08928,170.74,106.688,71.2931,32.4969,8.02663
2.10499,168.77,105.221,70.193,32.195,7.97395
2.12065,165.627,104.457,70.183,31.8274,7.85188
2.13633,163.712,102.949,69.0401,31.7086,7.77495
2.15211,161.269,100.892,68.0961,31.1111,7.68945
2.16785,160.025,100.48,67.4111,30.9873,7.61613
2.18349,157.664,99.2208,66.4548,30.3714,7.517
2.19916,155.878,97.2553,65.2832,30.2333,7.45981
2.21489,153.222,96.2115,64.8247,29.7962,7.38419
2.23063,151.556,95.0952,64.0176,29.6884,7.32682
2.2463,149.174,93.7047,63.4131,29.1622,7.2026
2.26194,147.192,93.0304,62.4062,28.8598,7.13216
2.27765,145.788,91.4256,61.8887,28.4351,7.05254
2.29341,143.595,90.5905,61.1122,28.3176,6.99143
2.30914,141.462,89.3958,60.2313,27.9327,6.88762
2.32486,139.281,88.0541,59.3093,27.5543,6.83723
2.34061,138.054,87.0903,59.0936,27.2054,6.80465
2.35635,135.864,85.6395,58.4882,27.0632,6.70626
2.37203,134.27,85.2606,57.4273,26.7217,6.5923
2.38768,132.425,83.9219,56.8127,26.511,6.56244
2.40339,131.326,82.285,56.1019,26.1987,6.49003
2.41914,129.92,81.4674,55.1179,26.0079,6.45018
2.43483,128.253,80.5611,54.6433,25.7564,6.39988
2.4505,126.521,79.2127,54.1774,25.3724,6.29281
2.46622,125.071,78.7813,53.7208,25.1626,6.24497
2.48195,123.372,77.5851,52.7886,24.8976,6.19287
2.49759,121.744,76.9461,52.1754,24.6195,6.13864
2.51328,119.935,75.8255,51.7234,24.3429,6.07277
2.52906,118.666,74.6683,51.1168,24.1346,6.00508
2.54479,117.567,73.8597,50.367,23.7894,5.95068
2.56049,115.829,73.2242,49.8718,23.6489,5.92471
2.57618,114.586,71.9623,49.3924,23.3863,5.85089
2.59189,113.387,71.2813,48.6935,23.0643,5.79838
2.60758,112.548,70.3764,48.0793,22.9004,5.7295
2.62325,110.592,69.5005,47.3157,22.7138,5.68095
2.63898,108.807,68.8716,46.9376,22.4308,5.6179
2.65468,107.651,68.193,46.6191,22.1425,5.59456
2.67044,106.687,66.8017,45.9063,21.9685,5.53892
2.68618,105.603,66.2906,45.2849,21.8152,5.48485
2.70184,104.298,65.424,44.6431,21.5113,5.43278
2.71755,103.042,64.5579,44.332,21.3267,5.385
2.73329,101.854,63.9167,43.7216,21.1197,5.33056
